ExportIndex,Index,Emission (gCO2)
0,129d,0.00102194
0,130d,0.00102172
0,131d,0.00102122
0,132d,0.00102053
0,133d,0.00101908
0,134d,0.00102044
0,135d,0.00102086
0,136d,0.00102044
0,137d,0.00102142
0,138d,0.00102089
0,139d,0.00102056
0,140d,0.00102081
0,141d,0.00102044
0,142d,0.00101906
0,143d,0.00102072
0,144d,0.00102106
0,145d,0.00102075
0,146d,0.00102092
0,147d,0.00102089
0,148d,0.00102128
0,149d,0.00101958
0,150d,0.00102111
0,151d,0.00102131
0,152d,0.00102161
0,153d,0.00102322
0,154d,0.00102194
0,155d,0.00102239
0,156d,0.00102328
0,157d,0.00102189
0,158d,0.00102181
0,159d,0.00102217
0,160d,0.00102336
0,161d,0.00102347
0,162d,0.00102372
0,163d,0.00102303
0,164d,0.00102333
0,165d,0.00102325
0,166d,0.00102092
0,167d,0.00102222
0,168d,0.00102306
0,169d,0.00102367
0,170d,0.00102239
0,171d,0.00102192
0,172d,0.00102175
0,173d,0.00102394
0,174d,0.00102189
0,175d,0.00102367
0,176d,0.00102267
0,177d,0.00102314
0,178d,0.00102194
0,179d,0.00102292
0,180d,0.00102325
0,181d,0.00102164
0,182d,0.00102119
0,183d,0.00101903
0,184d,0.00102106
0,185d,0.00102217
0,186d,0.00102125
0,187d,0.00102019
0,188d,0.00101933
0,189d,0.00102133
0,190d,0.00102119
0,191d,0.00102161
0,192d,0.00102181
0,193d,0.00102203
0,194d,0.00101978
0,195d,0.00102047
0,196d,0.00102094
0,197d,0.00102111
0,198d,0.00102089
0,199d,0.00102139
0,200d,0.00102125
0,201d,0.00102153
0,202d,0.00102156
0,203d,0.00102117
0,204d,0.00102161
0,205d,0.001022
0,206d,0.00102083
0,207d,0.00102097
0,208d,0.00102117
0,209d,0.00102175
0,210d,0.00102081
0,211d,0.00102197
0,212d,0.00102111
0,213d,0.00102342
0,214d,0.00101969
0,215d,0.00101864
0,216d,0.00101889
0,217d,0.00101919
0,218d,0.00101892
0,219d,0.00101839
0,220d,0.00101858
0,221d,0.00101983
0,222d,0.00102053
0,223d,0.00102103
0,224d,0.00102089
0,225d,0.00101981
0,226d,0.00101997
0,227d,0.00101944
0,228d,0.00101992
0,229d,0.00101967
0,230d,0.00101961
0,231d,0.00102097
0,232d,0.00102114
0,233d,0.00102122
0,234d,0.00102033
0,235d,0.00102078
0,236d,0.00102056
0,237d,0.00102017
0,238d,0.00102075
0,239d,0.00102086
0,240d,0.00102019
0,241d,0.00102042
0,242d,0.00101969
0,243d,0.00102022
