ExportIndex,Index,Emission (gCO2)
18,23h,20.0268
18,24h,17.5764
19,1h,17.3652
19,2h,17.7444
19,3h,17.088
19,4h,17.1864
19,5h,16.9836
19,6h,17.4276
19,7h,17.6784
19,8h,18.66
19,9h,18.0456
19,10h,17.4444
19,11h,16.1796
19,12h,14.0316
19,13h,13.242
19,14h,14.1528
19,15h,16.7748
19,16h,19.2816
19,17h,19.464
19,18h,19.5336
19,19h,18.9312
19,20h,18.3516
19,21h,16.7424
19,22h,15.828
19,23h,14.8836
19,24h,13.2912
20,1h,12.6372
20,2h,11.67
20,3h,10.3644
20,4h,10.4448
20,5h,10.8288
20,6h,11.256
20,7h,11.4072
20,8h,11.9544
20,9h,11.8308
20,10h,11.148
20,11h,10.4736
20,12h,10.2948
20,13h,10.3044
20,14h,10.2072
20,15h,10.5516
20,16h,10.3368
20,17h,10.5252
20,18h,11.43
20,19h,11.7096
20,20h,11.3184
20,21h,10.734
20,22h,10.3308
20,23h,10.704
20,24h,10.2636
21,1h,10.3416
21,2h,10.3944
21,3h,9.774
21,4h,10.2576
21,5h,10.1328
21,6h,10.8456
21,7h,11.796
21,8h,12.27
21,9h,11.7096
21,10h,10.2
21,11h,9.8076
21,12h,8.5392
21,13h,8.2224
21,14h,8.7408
21,15h,8.9868
21,16h,10.1532
21,17h,11.754
21,18h,12.8808
21,19h,12.6216
21,20h,11.9208
21,21h,11.5212
21,22h,11.2656
21,23h,11.4204
21,24h,10.7052
22,1h,10.7256
22,2h,11.0412
22,3h,11.2272
22,4h,11.5344
22,5h,12.234
22,6h,12.9912
22,7h,16.176
22,8h,16.926
22,9h,15.5004
22,10h,13.7088
22,11h,13.3344
22,12h,11.5668
22,13h,10.578
22,14h,10.3296
22,15h,10.464
22,16h,10.368
22,17h,10.47
22,18h,11.2212
22,19h,11.9064
22,20h,10.626
22,21h,10.3392
22,22h,10.416
22,23h,9.8364
22,24h,9.1308
23,1h,9.696
23,2h,9.9648
23,3h,9.5724
23,4h,9.4092
23,5h,9.1476
23,6h,9.888
23,7h,10.7988
23,8h,12.054
23,9h,11.7564
23,10h,10.386
23,11h,9.0336
23,12h,8.598
23,13h,8.1636
23,14h,8.8248
23,15h,9.8208
23,16h,11.5236
23,17h,13.668
23,18h,16.6044
23,19h,16.1124
23,20h,15.2388
23,21h,14.8464
23,22h,14.2812
23,23h,14.2932
23,24h,14.8932
24,1h,16.2132
24,2h,17.6556
24,3h,18.3672
24,4h,19.1808
24,5h,20.0352
24,6h,21.7512
24,7h,22.866
24,8h,22.9104
24,9h,20.22
24,10h,17.7048
24,11h,16.7928
24,12h,15.0504
24,13h,14.3556
24,14h,15.2208
24,15h,15.2844
24,16h,14.5872
24,17h,14.6808
24,18h,15.624
24,19h,16.4544
24,20h,15.9876
24,21h,14.1588
24,22h,14.0808
24,23h,12.5976
24,24h,9.0276
25,1h,9.0972
25,2h,9.0804
25,3h,9.1992
25,4h,9.4356
25,5h,8.8704
25,6h,8.502
25,7h,9.1368
25,8h,9.8088
25,9h,10.1532
25,10h,9.5088
25,11h,8.2836
25,12h,7.6284
25,13h,7.8336
25,14h,8.1348
25,15h,9.696
25,16h,11.4612
25,17h,15.078
25,18h,17.5764
25,19h,18.252
25,20h,18.8892
25,21h,19.0284
25,22h,18.402
25,23h,18.3888
25,24h,19.5516
26,1h,18.4572
26,2h,19.116
26,3h,19.1664
26,4h,17.6832
26,5h,17.4072
26,6h,17.9784
26,7h,18.168
26,8h,18.5904
26,9h,16.6308
26,10h,14.0448
26,11h,12.7944
26,12h,11.7444
26,13h,11.5632
26,14h,12.5856
26,15h,12.9564
26,16h,14.016
26,17h,14.1816
26,18h,15.6468
26,19h,17.3184
26,20h,16.6884
26,21h,15.606
26,22h,13.3512
26,23h,13.3656
26,24h,11.2296
27,1h,11.3088
27,2h,10.9632
27,3h,10.1184
27,4h,10.3704
27,5h,10.2156
27,6h,10.3632
27,7h,10.3368
27,8h,10.158
27,9h,9.5004
27,10h,10.6284
27,11h,9.9792
27,12h,9.282
27,13h,8.3532
27,14h,9.0276
27,15h,9.132
27,16h,10.7544
27,17h,12.3528
27,18h,13.9164
27,19h,14.6664
27,20h,14.3232
27,21h,14.3004
27,22h,14.5608
27,23h,14.4288
27,24h,14.2644
28,1h,13.8372
28,2h,13.5864
28,3h,12.2988
28,4h,11.7912
28,5h,13.4076
28,6h,15.3804
28,7h,17.1276
28,8h,15.084
28,9h,16.6056
28,10h,15.8568
28,11h,14.2368
28,12h,11.6604
28,13h,11.3616
28,14h,11.8296
28,15h,12.282
28,16h,14.1972
28,17h,15.396
28,18h,17.2956
28,19h,17.3328
28,20h,15.57
28,21h,13.71
28,22h,13.5696
28,23h,11.5068
28,24h,10.8588
29,1h,11.4144
29,2h,11.2872
29,3h,10.7076
29,4h,10.9116
29,5h,10.77
29,6h,10.3104
29,7h,12.096
29,8h,12.3708
29,9h,13.974
29,10h,13.6812
29,11h,13.2996
29,12h,10.9176
29,13h,10.1436
29,14h,10.8528
29,15h,12.4836
29,16h,14.9076
29,17h,17.1468
29,18h,21.7872
29,19h,24.324
29,20h,24.0696
29,21h,23.8956
29,22h,24.5508
29,23h,23.4972
29,24h,22.3368
30,1h,21.5616
30,2h,20.178
30,3h,15.6384
30,4h,13.6344
30,5h,16.194
30,6h,15.5172
30,7h,17.388
30,8h,17.8224
30,9h,16.4844
30,10h,15.0252
30,11h,13.9644
30,12h,11.82
30,13h,9.9744
30,14h,9.6336
30,15h,10.1904
30,16h,11.688
30,17h,12.5016
30,18h,15.384
30,19h,14.88
30,20h,14.3904
30,21h,13.638
30,22h,12.8556
30,23h,12.1056
30,24h,11.37
31,1h,11.6568
31,2h,12.2112
31,3h,13.056
31,4h,13.6704
